"행정구역별(1)","시점",데이터
"전국(평균)","2000",12.5
"전국(평균)","2001",12.7
"전국(평균)","2002",12.6
"전국(평균)","2003",12.5
"전국(평균)","2004",13.2
"전국(평균)","2005",12.3
"전국(평균)","2006",12.9
"전국(평균)","2007",13.2
"전국(평균)","2008",12.9
"전국(평균)","2009",13.0
"전국(평균)","2010",12.7
"전국(평균)","2011",12.4
"전국(평균)","2012",12.3
"전국(평균)","2013",12.9
"전국(평균)","2014",13.1
"전국(평균)","2015",13.4
"전국(평균)","2016",13.6
"전국(평균)","2017",13.1
"전국(평균)","2018",13.0
"전국(평균)","2019",13.3
"전국(평균)","2020",13.0
"전국(평균)","2021",13.3
"서울특별시","2000",12.7
"서울특별시","2001",12.8
"서울특별시","2002",12.9
"서울특별시","2003",12.8
"서울특별시","2004",13.3
"서울특별시","2005",12.1
"서울특별시","2006",13.0
"서울특별시","2007",13.3
"서울특별시","2008",12.9
"서울특별시","2009",12.9
"서울특별시","2010",12.1
"서울특별시","2011",12.0
"서울특별시","2012",12.2
"서울특별시","2013",12.5
"서울특별시","2014",13.4
"서울특별시","2015",13.6
"서울특별시","2016",13.6
"서울특별시","2017",13.0
"서울특별시","2018",12.9
"서울특별시","2019",13.5
"서울특별시","2020",13.2
"서울특별시","2021",13.7
"부산광역시","2000",14.9
"부산광역시","2001",15.3
"부산광역시","2002",14.7
"부산광역시","2003",14.3
"부산광역시","2004",14.9
"부산광역시","2005",13.8
"부산광역시","2006",14.7
"부산광역시","2007",15.3
"부산광역시","2008",15.0
"부산광역시","2009",15.2
"부산광역시","2010",14.9
"부산광역시","2011",14.6
"부산광역시","2012",14.5
"부산광역시","2013",15.3
"부산광역시","2014",15.1
"부산광역시","2015",15.4
"부산광역시","2016",15.7
"부산광역시","2017",15.2
"부산광역시","2018",15.1
"부산광역시","2019",15.7
"부산광역시","2020",15.2
"부산광역시","2021",15.7
"대구광역시","2000",14.2
"대구광역시","2001",14.8
"대구광역시","2002",14.1
"대구광역시","2003",13.8
"대구광역시","2004",14.8
"대구광역시","2005",14.2
"대구광역시","2006",14.6
"대구광역시","2007",15.0
"대구광역시","2008",14.6
"대구광역시","2009",14.8
"대구광역시","2010",14.4
"대구광역시","2011",14.3
"대구광역시","2012",14.1
"대구광역시","2013",15.0
"대구광역시","2014",14.5
"대구광역시","2015",14.8
"대구광역시","2016",14.6
"대구광역시","2017",14.4
"대구광역시","2018",14.1
"대구광역시","2019",14.8
"대구광역시","2020",14.5
"대구광역시","2021",14.6
"인천광역시","2000",11.7
"인천광역시","2001",11.5
"인천광역시","2002",11.6
"인천광역시","2003",11.3
"인천광역시","2004",12.0
"인천광역시","2005",11.2
"인천광역시","2006",11.8
"인천광역시","2007",12.1
"인천광역시","2008",12.0
"인천광역시","2009",11.9
"인천광역시","2010",11.4
"인천광역시","2011",11.0
"인천광역시","2012",11.1
"인천광역시","2013",11.1
"인천광역시","2014",12.1
"인천광역시","2015",12.3
"인천광역시","2016",12.4
"인천광역시","2017",11.9
"인천광역시","2018",11.6
"인천광역시","2019",12.5
"인천광역시","2020",12.3
"인천광역시","2021",12.7
"광주광역시","2000",13.5
"광주광역시","2001",13.8
"광주광역시","2002",13.9
"광주광역시","2003",13.6
"광주광역시","2004",14.3
"광주광역시","2005",13.6
"광주광역시","2006",14.2
"광주광역시","2007",14.6
"광주광역시","2008",14.6
"광주광역시","2009",14.6
"광주광역시","2010",14.2
"광주광역시","2011",13.7
"광주광역시","2012",13.7
"광주광역시","2013",14.2
"광주광역시","2014",14.3
"광주광역시","2015",14.6
"광주광역시","2016",15.0
"광주광역시","2017",14.6
"광주광역시","2018",14.6
"광주광역시","2019",14.7
"광주광역시","2020",14.5
"광주광역시","2021",15.1
"대전광역시","2000",12.4
"대전광역시","2001",13.1
"대전광역시","2002",13.3
"대전광역시","2003",13.2
"대전광역시","2004",13.9
"대전광역시","2005",12.4
"대전광역시","2006",13.1
"대전광역시","2007",13.3
"대전광역시","2008",13.0
"대전광역시","2009",12.8
"대전광역시","2010",12.7
"대전광역시","2011",12.6
"대전광역시","2012",12.6
"대전광역시","2013",13.1
"대전광역시","2014",13.4
"대전광역시","2015",14.0
"대전광역시","2016",14.0
"대전광역시","2017",13.4
"대전광역시","2018",13.5
"대전광역시","2019",14.0
"대전광역시","2020",13.7
"대전광역시","2021",14.3
"울산광역시","2000",14.3
"울산광역시","2001",14.6
"울산광역시","2002",14.4
"울산광역시","2003",14.3
"울산광역시","2004",15.2
"울산광역시","2005",14.3
"울산광역시","2006",14.6
"울산광역시","2007",15.0
"울산광역시","2008",14.2
"울산광역시","2009",14.3
"울산광역시","2010",14.0
"울산광역시","2011",13.7
"울산광역시","2012",13.7
"울산광역시","2013",14.8
"울산광역시","2014",14.7
"울산광역시","2015",15.0
"울산광역시","2016",14.8
"울산광역시","2017",14.5
"울산광역시","2018",14.3
"울산광역시","2019",14.9
"울산광역시","2020",14.6
"울산광역시","2021",14.9
"세종특별자치시","2020",13.1
"세종특별자치시","2021",13.5
"경기도","2000",11.6
"경기도","2001",11.4
"경기도","2002",11.3
"경기도","2003",11.5
"경기도","2004",11.8
"경기도","2005",11.1
"경기도","2006",12.0
"경기도","2007",12.0
"경기도","2008",11.8
"경기도","2009",11.8
"경기도","2010",11.2
"경기도","2011",11.0
"경기도","2012",11.3
"경기도","2013",11.6
"경기도","2014",12.2
"경기도","2015",12.6
"경기도","2016",12.7
"경기도","2017",11.8
"경기도","2018",11.7
"경기도","2019",12.3
"경기도","2020",12.2
"경기도","2021",12.5
"강원도","2000",10.8
"강원도","2001",10.8
"강원도","2002",10.7
"강원도","2003",10.5
"강원도","2004",11.4
"강원도","2005",10.4
"강원도","2006",10.9
"강원도","2007",11.4
"강원도","2008",11.2
"강원도","2009",11.3
"강원도","2010",11.0
"강원도","2011",10.5
"강원도","2012",10.5
"강원도","2013",11.2
"강원도","2014",11.7
"강원도","2015",12.0
"강원도","2016",12.0
"강원도","2017",11.5
"강원도","2018",11.3
"강원도","2019",12.0
"강원도","2020",11.7
"강원도","2021",11.9
"충청북도","2000",11.2
"충청북도","2001",11.6
"충청북도","2002",11.5
"충청북도","2003",11.5
"충청북도","2004",12.1
"충청북도","2005",11.2
"충청북도","2006",11.8
"충청북도","2007",12.0
"충청북도","2008",11.8
"충청북도","2009",11.7
"충청북도","2010",11.4
"충청북도","2011",11.2
"충청북도","2012",11.1
"충청북도","2013",11.6
"충청북도","2014",12.0
"충청북도","2015",12.4
"충청북도","2016",12.6
"충청북도","2017",11.9
"충청북도","2018",11.9
"충청북도","2019",12.4
"충청북도","2020",12.1
"충청북도","2021",12.5
"충청남도","2000",11.7
"충청남도","2001",12.2
"충청남도","2002",12.1
"충청남도","2003",12.0
"충청남도","2004",12.5
"충청남도","2005",11.8
"충청남도","2006",12.3
"충청남도","2007",12.6
"충청남도","2008",12.4
"충청남도","2009",12.4
"충청남도","2010",12.2
"충청남도","2011",11.8
"충청남도","2012",11.7
"충청남도","2013",12.1
"충청남도","2014",12.6
"충청남도","2015",12.9
"충청남도","2016",13.1
"충청남도","2017",12.3
"충청남도","2018",12.4
"충청남도","2019",12.7
"충청남도","2020",12.7
"충청남도","2021",13.2
"전라북도","2000",12.0
"전라북도","2001",12.4
"전라북도","2002",12.5
"전라북도","2003",12.3
"전라북도","2004",12.7
"전라북도","2005",12.0
"전라북도","2006",12.8
"전라북도","2007",13.0
"전라북도","2008",12.9
"전라북도","2009",12.8
"전라북도","2010",12.6
"전라북도","2011",12.3
"전라북도","2012",12.3
"전라북도","2013",12.7
"전라북도","2014",12.9
"전라북도","2015",13.2
"전라북도","2016",13.5
"전라북도","2017",12.7
"전라북도","2018",12.9
"전라북도","2019",13.1
"전라북도","2020",13.0
"전라북도","2021",13.5
"전라남도","2000",13.2
"전라남도","2001",13.5
"전라남도","2002",13.3
"전라남도","2003",13.2
"전라남도","2004",13.7
"전라남도","2005",12.9
"전라남도","2006",13.4
"전라남도","2007",13.8
"전라남도","2008",13.5
"전라남도","2009",13.6
"전라남도","2010",13.4
"전라남도","2011",13.1
"전라남도","2012",13.2
"전라남도","2013",13.7
"전라남도","2014",13.8
"전라남도","2015",14.0
"전라남도","2016",14.3
"전라남도","2017",13.8
"전라남도","2018",13.8
"전라남도","2019",14.2
"전라남도","2020",14.1
"전라남도","2021",14.7
"경상북도","2000",12.2
"경상북도","2001",12.2
"경상북도","2002",12.0
"경상북도","2003",11.8
"경상북도","2004",12.7
"경상북도","2005",11.9
"경상북도","2006",12.4
"경상북도","2007",12.9
"경상북도","2008",12.5
"경상북도","2009",12.6
"경상북도","2010",12.2
"경상북도","2011",12.0
"경상북도","2012",11.8
"경상북도","2013",12.5
"경상북도","2014",12.5
"경상북도","2015",13.0
"경상북도","2016",13.2
"경상북도","2017",12.8
"경상북도","2018",12.7
"경상북도","2019",13.3
"경상북도","2020",13.0
"경상북도","2021",12.9
"경상남도","2000",13.5
"경상남도","2001",13.5
"경상남도","2002",13.6
"경상남도","2003",13.5
"경상남도","2004",14.3
"경상남도","2005",13.4
"경상남도","2006",13.8
"경상남도","2007",14.3
"경상남도","2008",13.9
"경상남도","2009",14.2
"경상남도","2010",13.8
"경상남도","2011",13.6
"경상남도","2012",13.3
"경상남도","2013",14.0
"경상남도","2014",13.8
"경상남도","2015",14.0
"경상남도","2016",14.4
"경상남도","2017",14.1
"경상남도","2018",13.9
"경상남도","2019",14.4
"경상남도","2020",14.1
"경상남도","2021",14.5
"제주특별자치도","2000",15.7
"제주특별자치도","2001",15.7
"제주특별자치도","2002",16.0
"제주특별자치도","2003",16.3
"제주특별자치도","2004",16.4
"제주특별자치도","2005",15.7
"제주특별자치도","2006",16.0
"제주특별자치도","2007",16.6
"제주특별자치도","2008",16.1
"제주특별자치도","2009",16.1
"제주특별자치도","2010",15.8
"제주특별자치도","2011",15.8
"제주특별자치도","2012",15.9
"제주특별자치도","2013",16.3
"제주특별자치도","2014",16.1
"제주특별자치도","2015",16.2
"제주특별자치도","2016",16.6
"제주특별자치도","2017",16.4
"제주특별자치도","2018",16.3
"제주특별자치도","2019",16.6
"제주특별자치도","2020",16.4
"제주특별자치도","2021",17.2
